year,station,PM2.5,PM10,SO2,NO2,CO,O3
2013,Dingling,64.94815290961209,79.15967111678566,14.114887929066297,31.32952462392197,901.4095772611043,64.951957305294
2013,Guanyuan,82.06074259856743,107.69955361697875,21.811525374203875,57.983922128928434,1180.0863650243257,58.649820963026286
2013,Gucheng,81.79444739834072,112.46274100553234,17.643715251178527,61.225641979046436,1276.9956922226422,56.22750198794532
2014,Dingling,74.24269459126045,90.84894274657317,14.534632357573505,28.153859360516588,884.8334198599232,72.23999616088541
2014,Guanyuan,88.14077024464048,115.68757755476041,22.904414893394684,63.402687199300445,1348.4727273900337,55.41892742285409
2014,Gucheng,89.03107932626362,133.37506226551838,19.725496458326976,61.81584971749333,1418.234577107474,58.93394900364359
2015,Dingling,64.58253559133483,85.39824504808425,11.355717201003792,27.10799268721228,966.3750119826776,71.02495951352172
2015,Guanyuan,82.32284160232614,106.30754354417638,14.096442031318851,54.82658371562358,1313.6418553154704,56.819701499477205
2015,Gucheng,83.37605350967858,115.92732512221156,13.33636096874073,49.54330810126511,1320.1726326186952,61.035231770458
2016,Dingling,60.25813964669233,80.83902464832059,7.370781513678438,25.915745660228648,880.1432233741209,67.04058876257871
2016,Guanyuan,77.11229093148808,104.58586068335772,11.547624213319676,53.39311209550605,1171.8832551425887,55.146177385370336
2016,Gucheng,77.27689222153327,110.51967353816875,10.267825635126188,49.85986939338693,1170.2236746916121,59.61869022738452
2017,Dingling,68.14144246837154,78.58851955096658,13.247343507961101,34.39410208953237,1149.895224571568,54.24260929308425
2017,Guanyuan,92.32022648952787,116.68975964610041,20.909505265085166,64.53405231241912,1482.9528481537595,45.848092040265094
2017,Gucheng,101.28462803420045,126.41423676137035,20.476210654014668,62.14887104982124,1777.4106174431952,29.491816609291536
